"[[1.6470719575881958, 6.588287830352783, -6.971327781677246], [2.5663681030273438, -5.630688190460205, -7.660799980163574]]",Laying
"[[1.723680019378662, 6.741504192352295, -6.894720077514648], [2.5663681030273438, -5.630688190460205, -7.660799980163574]]",Laying
"[[1.723680019378662, 6.741504192352295, -6.894720077514648], [2.413151979446411, -5.860511779785156, -7.622496128082275]]",Laying
"[[1.6853760480880737, 6.664896011352539, -6.85641622543335], [2.451456069946289, -5.74560022354126, -7.660799980163574]]",Laying
"[[1.6087679862976074, 6.664896011352539, -6.85641622543335], [2.6046719551086426, -5.707295894622803, -7.584191799163818]]",Laying
"[[1.6853760480880737, 6.818111896514893, -6.818111896514893], [2.6046719551086426, -5.707295894622803, -7.584191799163818]]",Laying
"[[1.6470719575881958, 6.779808044433594, -6.818111896514893], [2.5663681030273438, -5.74560022354126, -7.660799980163574]]",Laying
"[[1.6087679862976074, 6.741504192352295, -6.894720077514648], [2.5663681030273438, -5.707295894622803, -7.622496128082275]]",Laying
"[[1.6853760480880737, 6.4733757972717285, -7.009632110595703], [2.374847888946533, -5.898816108703613, -7.277760028839111]]",Laying
"[[1.5321600437164307, 6.741504192352295, -6.85641622543335], [2.374847888946533, -5.898816108703613, -7.277760028839111]]",Laying
"[[1.570464015007019, 6.62659215927124, -6.971327781677246], [2.3365440368652344, -6.549983978271484, -7.2011518478393555]]",Laying
"[[1.6853760480880737, 6.62659215927124, -6.933023929595947], [2.489759922027588, -5.171040058135986, -7.852320194244385]]",Laying
"[[1.6087679862976074, 6.62659215927124, -6.971327781677246], [2.489759922027588, -5.668992042541504, -7.699103832244873]]",Laying
"[[1.4938559532165527, 6.588287830352783, -7.009632110595703], [2.6046719551086426, -5.630688190460205, -7.660799980163574]]",Laying
"[[1.6087679862976074, 7.2011518478393555, -6.20524787902832], [2.5663681030273438, -5.630688190460205, -7.73740816116333]]",Laying
"[[1.6087679862976074, 7.2394561767578125, -6.1669440269470215], [2.5663681030273438, -5.630688190460205, -7.73740816116333]]",Laying
"[[1.6470719575881958, 7.392672061920166, -6.128640174865723], [2.5663681030273438, -5.592383861541748, -7.660799980163574]]",Laying
"[[1.6087679862976074, 7.354368209838867, -6.128640174865723], [2.6046719551086426, -5.51577615737915, -7.699103832244873]]",Laying
"[[1.6470719575881958, 7.31606388092041, -6.090335845947266], [2.6429760456085205, -5.592383861541748, -7.775712013244629]]",Laying
"[[1.6470719575881958, 7.31606388092041, -6.090335845947266], [2.5663681030273438, -5.554080009460449, -7.660799980163574]]",Laying
"[[1.6853760480880737, 7.354368209838867, -6.128640174865723], [2.528064012527466, -5.630688190460205, -7.699103832244873]]",Laying
"[[1.5321600437164307, 7.277760028839111, -6.128640174865723], [2.528064012527466, -5.630688190460205, -7.699103832244873]]",Laying
"[[1.6470719575881958, 7.31606388092041, -6.1669440269470215], [2.6046719551086426, -5.707295894622803, -7.622496128082275]]",Laying
"[[1.6853760480880737, 7.31606388092041, -6.1669440269470215], [2.6046719551086426, -5.630688190460205, -7.660799980163574]]",Laying
"[[1.6853760480880737, 7.31606388092041, -6.1669440269470215], [2.6046719551086426, -5.630688190460205, -7.660799980163574]]",Laying
"[[1.6087679862976074, 7.277760028839111, -6.090335845947266], [2.489759922027588, -5.630688190460205, -7.660799980163574]]",Laying
"[[1.6087679862976074, 7.354368209838867, -6.1669440269470215], [2.6046719551086426, -5.668992042541504, -7.660799980163574]]",Laying
"[[1.570464015007019, 7.354368209838867, -6.1669440269470215], [2.6429760456085205, -5.630688190460205, -7.660799980163574]]",Laying
"[[1.6087679862976074, 7.31606388092041, -6.1669440269470215], [2.5663681030273438, -5.630688190460205, -7.622496128082275]]",Laying
"[[1.6087679862976074, 7.277760028839111, -6.1669440269470215], [2.5663681030273438, -5.630688190460205, -7.699103832244873]]",Laying
"[[1.6470719575881958, 7.354368209838867, -6.20524787902832], [2.5663681030273438, -5.630688190460205, -7.622496128082275]]",Laying
"[[1.6470719575881958, 7.354368209838867, -6.20524787902832], [2.6429760456085205, -5.51577615737915, -7.699103832244873]]",Laying
"[[1.6087679862976074, 7.31606388092041, -6.1669440269470215], [2.6046719551086426, -5.554080009460449, -7.73740816116333]]",Laying
"[[1.6853760480880737, 7.277760028839111, -6.128640174865723], [2.528064012527466, -5.630688190460205, -7.660799980163574]]",Laying
"[[1.5321600437164307, 7.354368209838867, -6.20524787902832], [2.528064012527466, -5.51577615737915, -7.73740816116333]]",Laying
"[[1.6087679862976074, 7.31606388092041, -6.128640174865723], [2.5663681030273438, -5.630688190460205, -7.73740816116333]]",Laying
"[[1.6087679862976074, 7.392672061920166, -6.243552207946777], [2.5663681030273438, -5.592383861541748, -7.660799980163574]]",Laying
"[[1.6087679862976074, 7.354368209838867, -6.20524787902832], [2.5663681030273438, -5.668992042541504, -7.660799980163574]]",Laying
"[[1.6087679862976074, 7.354368209838867, -6.1669440269470215], [2.5663681030273438, -5.630688190460205, -7.699103832244873]]",Laying
"[[1.6087679862976074, 7.31606388092041, -6.1669440269470215], [2.528064012527466, -5.554080009460449, -7.73740816116333]]",Laying
"[[1.570464015007019, 7.354368209838867, -6.1669440269470215], [2.5663681030273438, -5.630688190460205, -7.73740816116333]]",Laying
"[[1.570464015007019, 7.277760028839111, -6.243552207946777], [2.6046719551086426, -5.630688190460205, -7.699103832244873]]",Laying
"[[1.6470719575881958, 7.392672061920166, -6.128640174865723], [2.5663681030273438, -5.592383861541748, -7.699103832244873]]",Laying
